title,preview
Naming a NASA Mars Rover Can Change Your Life,Want to name the robotic scientist NASA is sending to Mars in 2020? The student who named Curiosity — the rover currently exploring Mars — will tell you this is an opportunity worth taking.
Celebrate Mars Reconnaissance Orbiter's Views From Above,"Marking its 15th anniversary since launch, one of the oldest spacecraft at the Red Planet has provided glimpses of dust devils, avalanches, and more."
NASA's Mars Perseverance Rover Gets Its Sample Handling System,The system will be collecting and storing Martian rock and soil. Its installation marks another milestone in the march toward the July launch period.
InSight's 'Mole' Team Peers into the Pit,Efforts to save the heat probe continue.
NASA's Mars 2020 Will Hunt for Microscopic Fossils,A new paper identifies a ring of minerals at the rover's landing site that are ideal for fossilizing microbial life.
A New Video Captures the Science of NASA's Perseverance Mars Rover,"With a targeted launch date of July 30, the next robotic scientist NASA is sending to the to the Red Planet has big ambitions."
From JPL's Mailroom to Mars and Beyond,"Bill Allen has thrived as the mechanical systems design lead for three Mars rover missions, but he got his start as a teenager sorting letters for the NASA center."
Robotic Toolkit Added to NASA's Mars 2020 Rover,"The bit carousel, which lies at the heart of the rover's Sample Caching System, is now aboard NASA's newest rover. "
"NASA Administrator Statement on Moon to Mars Initiative, FY 2021 Budget","Jim Bridenstine addresses NASA's ambitious plans for the coming years, including Mars Sample Return."
A Year of Surprising Science From NASA's InSight Mars Mission,A batch of new papers summarizes the lander's findings above and below the surface of the Red Planet.
NASA to Reveal Name of Its Next Mars Rover,"After a months-long contest among students to name NASA's newest Mars rover, the agency will reveal the winning name — and the winning student — this Thursday. "
NASA's Mars Reconnaissance Orbiter Undergoes Memory Update,Other orbiters will continue relaying data from Mars surface missions for a two-week period.
MOXIE Could Help Future Rockets Launch Off Mars,"NASA's Perseverance rover carries a device to convert Martian air into oxygen that, if produced on a larger scale, could be used not just for breathing, but also for fuel."
7 Things to Know About the Mars 2020 Perseverance Rover Mission,NASA's next rover to the Red Planet is slated to launch no earlier than July 30. These highlights will get you up to speed on the ambitious mission.
NASA's Mars 2020 Heads Into the Test Chamber,"In this time-lapse video taken at JPL, engineers move the Mars 2020 rover into a large vacuum chamber for testing in Mars-like environmental conditions."
